country_name,state_name,state_num,ten_stop_file,fifty_stop_file
united states,alabama,2,Alabama.zip,Fifty1.zip
united states,alaska,3,Alaska.zip,Fifty1.zip
united states,arizona,6,Arizona.zip,Fifty1.zip
united states,arkansas,7,Arkansa.zip,Fifty1.zip
united states,california,14,Califor.zip,Fifty2.zip
united states,colorado,17,Colorad.zip,Fifty2.zip
united states,connecticut,18,Connect.zip,Fifty2.zip
united states,delaware,21,Delawar.zip,Fifty2.zip
united states,florida,25,Florida.zip,Fifty3.zip
united states,georgia,27,Georgia.zip,Fifty3.zip
united states,idaho,33,Idaho.zip,Fifty3.zip
united states,illinois,34,Illinoi.zip,Fifty3.zip
united states,indiana,35,Indiana.zip,Fifty3.zip
united states,iowa,36,Iowa.zip,Fifty3.zip
united states,kansas,38,Kansas.zip,Fifty4.zip
united states,kentucky,39,Kentuck.zip,Fifty4.zip
united states,louisiana,42,Louisia.zip,Fifty4.zip
united states,maine,44,Maine.zip,Fifty4.zip
united states,maryland,46,Marylan.zip,Fifty4.zip
united states,massachusetts,47,Massach.zip,Fifty4.zip
united states,michigan,49,Michiga.zip,Fifty5.zip
united states,minnesota,50,Minneso.zip,Fifty5.zip
united states,mississippi,51,Mississ.zip,Fifty5.zip
united states,missouri,52,Missour.zip,Fifty5.zip
united states,montana,53,Montana.zip,Fifty5.zip
united states,north carolina,63,NCaroli.zip,Fifty6.zip
united states,north dakota,64,NDakota.zip,Fifty7.zip
united states,new hampshire,58,NHampsh.zip,Fifty6.zip
united states,new jersey,59,NJersey.zip,Fifty6.zip
united states,new mexico,60,NMexico.zip,Fifty6.zip
united states,new york,61,NYork.zip,Fifty6.zip
united states,nebraska,54,Nebrask.zip,Fifty5.zip
united states,nevada,55,Nevada.zip,Fifty5.zip
united states,ohio,66,Ohio.zip,Fifty7.zip
united states,oklahoma,67,Oklahom.zip,Fifty7.zip
united states,oregon,69,Oregon.zip,Fifty8.zip
united states,pennsylvania,72,Pennsyl.zip,Fifty8.zip
united states,rhode island,77,RhodeIs.zip,Fifty8.zip
united states,south carolina,80,SCaroli.zip,Fifty8.zip
united states,south dakota,81,SDakota.zip,Fifty9.zip
united states,tennessee,82,Tenness.zip,Fifty9.zip
united states,texas,83,Texas.zip,Fifty9.zip
united states,utah,85,Utah.zip,Fifty9.zip
united states,vermont,87,Vermont.zip,Fifty9.zip
united states,virginia,88,Virgini.zip,Fifty10.zip
united states,west virginia,90,W_Virgi.zip,Fifty10.zip
united states,washington,89,Washing.zip,Fifty10.zip
united states,wisconsin,91,Wiscons.zip,Fifty10.zip
united states,wyoming,92,Wyoming.zip,Fifty10.zip
canada,alberta,4,Alberta.zip,Fifty1.zip
canada,british columbia,11,BritCol.zip,Fifty2.zip
canada,manitoba,45,Manitob.zip,Fifty4.zip
canada,new brunswick,56,NBrunsw.zip,Fifty5.zip
canada,northwest territories,43,NWTerri.zip,Fifty4.zip
canada,newfoundland,57,Newfoun.zip,Fifty5.zip
canada,nova scotia,65,NovaSco.zip,Fifty7.zip
canada,nunavut,62,Nunavut.zip,Fifty7.zip
canada,ontario,68,Ontario.zip,Fifty7.zip
canada,prince edward island,75,PEI.zip,Fifty8.zip
canada,quebec,76,Quebec.zip,Fifty8.zip
canada,saskatchewan,79,Saskatc.zip,Fifty8.zip
canada,yukon,93,Yukon.zip,Fifty10.zip
